,nombre,latitud,longitud,location,categoria,ciudad
5,Disco Chiki,40.43615149685063,-3.6628238583166395,"{'type': 'Point', 'coordinates': [40.43615149685063, -3.6628238583166395]}",Disco,Madrid
6,Boom Indie Disco,40.430214,-3.696407,"{'type': 'Point', 'coordinates': [40.430214, -3.696407]}",Disco,Madrid
7,Discoteca Marmara,40.45789550901653,-3.685939460577314,"{'type': 'Point', 'coordinates': [40.45789550901653, -3.685939460577314]}",Disco,Madrid
8,El Cuerpo del Disco,40.429278274646485,-3.7016638786064093,"{'type': 'Point', 'coordinates': [40.429278274646485, -3.7016638786064093]}",Disco,Madrid
9,Disco Prive,40.42467498779297,-3.7232131958007812,"{'type': 'Point', 'coordinates': [40.42467498779297, -3.7232131958007812]}",Disco,Madrid
10,Amigos Del Disco,40.43543766589138,-3.715594368212833,"{'type': 'Point', 'coordinates': [40.43543766589138, -3.715594368212833]}",Disco,Madrid
11,Strong Disco,40.418643338955846,-3.707425585280147,"{'type': 'Point', 'coordinates': [40.418643338955846, -3.707425585280147]}",Disco,Madrid
12,Disco Pub La Noche,40.413919,-3.712737,"{'type': 'Point', 'coordinates': [40.413919, -3.712737]}",Disco,Madrid
13,Kruster Disco,40.422723,-3.691476,"{'type': 'Point', 'coordinates': [40.422723, -3.691476]}",Disco,Madrid
14,Mondino disco,40.435116365349465,-3.7161247044603436,"{'type': 'Point', 'coordinates': [40.435116365349465, -3.7161247044603436]}",Disco,Madrid
15,Aure's Palace Disco & Bar,40.43586730957031,-3.658864974975586,"{'type': 'Point', 'coordinates': [40.43586730957031, -3.658864974975586]}",Disco,Madrid
16,Discoteca Sueños,40.457673665790686,-3.7012377483088637,"{'type': 'Point', 'coordinates': [40.457673665790686, -3.7012377483088637]}",Disco,Madrid
17,La Joyeria  Disco Pub,40.41516659625823,-3.7023328113100193,"{'type': 'Point', 'coordinates': [40.41516659625823, -3.7023328113100193]}",Disco,Madrid
18,la cubana discoteca,40.450147,-3.695196,"{'type': 'Point', 'coordinates': [40.450147, -3.695196]}",Disco,Madrid
19,discoteca sueño latino,40.45590105398211,-3.701138648753884,"{'type': 'Point', 'coordinates': [40.45590105398211, -3.701138648753884]}",Disco,Madrid
20,Dino's HD Disco Bar,40.43394818881534,-3.6435055508408056,"{'type': 'Point', 'coordinates': [40.43394818881534, -3.6435055508408056]}",Disco,Madrid
21,Discoteca Nells Madrid,40.439664,-3.682127,"{'type': 'Point', 'coordinates': [40.439664, -3.682127]}",Disco,Madrid
