,nombre,latitud,longitud,location,categoria,ciudad
25,Budha,36.599200154437995,-4.532587763062026,"{'type': 'Point', 'coordinates': [36.599200154437995, -4.532587763062026]}",Disco,Málaga
26,Studio Disco,36.590938,-4.604666,"{'type': 'Point', 'coordinates': [36.590938, -4.604666]}",Disco,Málaga
27,Disco chimeneas,36.8857195,-4.1456031,"{'type': 'Point', 'coordinates': [36.8857195, -4.1456031]}",Disco,Málaga
28,Boss Disco,36.542149620135234,-4.61948619937999,"{'type': 'Point', 'coordinates': [36.542149620135234, -4.61948619937999]}",Disco,Málaga
29,Mango Discoteca,36.58355148386248,-4.539223542463941,"{'type': 'Point', 'coordinates': [36.58355148386248, -4.539223542463941]}",Disco,Málaga
0,Mimo Vegan Bistro,36.716062,-4.424227,"{'type': 'Point', 'coordinates': [36.716062, -4.424227]}",Vegan,Málaga
1,Vegan La Siria,36.714369,-4.428553,"{'type': 'Point', 'coordinates': [36.714369, -4.428553]}",Vegan,Málaga
2,Veganized - non toxic fashion,36.720366,-4.424072,"{'type': 'Point', 'coordinates': [36.720366, -4.424072]}",Vegan,Málaga
3,Vegan Place,36.691046,-4.447781,"{'type': 'Point', 'coordinates': [36.691046, -4.447781]}",Vegan,Málaga
4,Veganbnb,36.724776,-4.416009,"{'type': 'Point', 'coordinates': [36.724776, -4.416009]}",Vegan,Málaga
5,La Vegana,36.724179,-4.418461,"{'type': 'Point', 'coordinates': [36.724179, -4.418461]}",Vegan,Málaga
6,La Libélula Vegan,36.53900680182404,-4.628719807628735,"{'type': 'Point', 'coordinates': [36.53900680182404, -4.628719807628735]}",Vegan,Málaga
7,The Grill House - Indian - Spanish - Italian - Vegetarian and Vegan Food,36.62420051,-4.50204278,"{'type': 'Point', 'coordinates': [36.62420051, -4.50204278]}",Vegan,Málaga
8,Americano Vegano,36.624403,-4.499222,"{'type': 'Point', 'coordinates': [36.624403, -4.499222]}",Vegan,Málaga
9,My Lola Vegan Food,36.540123,-4.6273985,"{'type': 'Point', 'coordinates': [36.540123, -4.6273985]}",Vegan,Málaga
10,Himalaya Salon Vegan,36.74031,-4.0913424,"{'type': 'Point', 'coordinates': [36.74031, -4.0913424]}",Vegan,Málaga
11,Meson Mudejar Vegan,36.838543,-3.9905279,"{'type': 'Point', 'coordinates': [36.838543, -3.9905279]}",Vegan,Málaga
12,Casa San Andreas Eco Vegan B&B,36.823563,-3.974678,"{'type': 'Point', 'coordinates': [36.823563, -3.974678]}",Vegan,Málaga
